"Video ID","Title","Description","Running Time","Last Updated","Status"
"2233592053001","Hollister-US-Ostomy-Care-OET-Uro-Two-Piece-Urostomy-FormaFlex-Spanish","Hollister-US-Ostomy-Care-OET-Uro-Two-Piece-Urostomy-FormaFlex-Spanish","00:00:00","Mon Mar 25 2013 11:46:46 GMT-0400 (EDT)","deleted"
"1864786345001","Hollister-US-Continence-Care-External-Catheter-Everyday-Male-English","Hollister-US-Continence-Care-External-Catheter-Everyday-Male-English","00:00:00","Thu Sep 27 2012 16:11:27 GMT-0400 (EDT)","deleted"
"1864756718001","Hollister-US-Continence-Care-External-Catheter-ExtendedWear-Male-English","Hollister-US-Continence-Care-External-Catheter-ExtendedWear-Male-English","00:00:00","Thu Sep 27 2012 16:11:27 GMT-0400 (EDT)","deleted"
"1864776848001","Hollister-US-Continence-Care-External-Catheter-Inview-Male-English","Hollister-US-Continence-Care-External-Catheter-Inview-Male-English","00:00:00","Thu Sep 27 2012 16:11:27 GMT-0400 (EDT)","deleted"
"1864453757001","Hollister-DK-SE-Critical-Care-Zassi-Insertion-English","Hollister-DK-SE-Critical-Care-Zassi-Insertion-English","00:00:00","Thu Sep 27 2012 11:43:06 GMT-0400 (EDT)","deleted"
"1854318924001","everyday","everyday","00:00:00","Fri Sep 21 2012 18:50:50 GMT-0400 (EDT)","deleted"
"1854105463001","Hollister-US-Continence-Care-Advance-Plus-Catheter-Female-English","Hollister-US-Continence-Care-Advance-Plus-Catheter-Female-English","00:00:00","Fri Sep 21 2012 16:37:41 GMT-0400 (EDT)","deleted"
"1854105459001","Hollister-US-Continence-Care-Advance-Plus-Catheter-Female-Spanish","Hollister-US-Continence-Care-Advance-Plus-Catheter-Female-Spanish","00:00:00","Fri Sep 21 2012 16:37:41 GMT-0400 (EDT)","deleted"
"1854126695001","Hollister-US-Continence-Care-Advance-Plus-Catheter-Male-English","Hollister-US-Continence-Care-Advance-Plus-Catheter-Male-English","00:00:00","Fri Sep 21 2012 16:37:41 GMT-0400 (EDT)","deleted"
"1854103527001","Hollister-US-Continence-Care-Advance-Plus-Catheter-Male-Spanish","Hollister-US-Continence-Care-Advance-Plus-Catheter-Male-Spanish","00:00:00","Fri Sep 21 2012 16:37:41 GMT-0400 (EDT)","deleted"
"1854089521001","Hollister-US-Continence-Care-Apogee-Catheter-Female-English","Hollister-US-Continence-Care-Apogee-Catheter-Female-English","00:00:00","Fri Sep 21 2012 16:37:41 GMT-0400 (EDT)","deleted"
"1854103521001","Hollister-US-Continence-Care-Apogee-Catheter-Female-Spanish","Hollister-US-Continence-Care-Apogee-Catheter-Female-Spanish","00:00:00","Fri Sep 21 2012 16:38:59 GMT-0400 (EDT)","deleted"
"1854089515001","Hollister-US-Continence-Care-Apogee-Catheter-Male-English","Hollister-US-Continence-Care-Apogee-Catheter-Male-English","00:00:00","Fri Sep 21 2012 16:38:59 GMT-0400 (EDT)","deleted"
"1854103515001","Hollister-US-Continence-Care-Apogee-Catheter-Male-Spanish","Hollister-US-Continence-Care-Apogee-Catheter-Male-Spanish","00:00:00","Fri Sep 21 2012 16:38:59 GMT-0400 (EDT)","deleted"
"1854089509001","Hollister-US-Continence-Care-Apogee-Closed-Catheter-Female-English","Hollister-US-Continence-Care-Apogee-Closed-Catheter-Female-English","00:00:00","Fri Sep 21 2012 16:38:59 GMT-0400 (EDT)","deleted"
"1854089505001","Hollister-US-Continence-Care-Apogee-Closed-Catheter-Female-Spanish","Hollister-US-Continence-Care-Apogee-Closed-Catheter-Female-Spanish","00:00:00","Fri Sep 21 2012 16:38:59 GMT-0400 (EDT)","deleted"
"1854089499001","Hollister-US-Continence-Care-Apogee-Closed-Catheter-Male-English","Hollister-US-Continence-Care-Apogee-Closed-Catheter-Male-English","00:00:00","Fri Sep 21 2012 16:38:59 GMT-0400 (EDT)","deleted"
"1854103506001","Hollister-US-Continence-Care-Apogee-Closed-Catheter-Male-Spanish","Hollister-US-Continence-Care-Apogee-Closed-Catheter-Male-Spanish","00:00:00","Fri Sep 21 2012 16:38:59 GMT-0400 (EDT)","deleted"
"1801075960001","Module1_Hi","Module1_Hi","00:00:00","Fri Sep 21 2012 11:19:48 GMT-0400 (EDT)","deleted"
"1801078469001","Module1_Lo","Module1_Lo","00:00:00","Fri Sep 21 2012 11:19:58 GMT-0400 (EDT)","deleted"
"1801075951001","Module1_Mid","Module1_Mid","00:00:00","Fri Sep 21 2012 11:20:07 GMT-0400 (EDT)","deleted"
"1787130764001","Application-Anchor Fast-H264 16x9-full-res-cmtest","Application-Anchor Fast-H264 16x9-full-res-cmtest","00:00:00","Wed Aug 15 2012 17:43:37 GMT-0400 (EDT)","deleted"
"1783567306001","Application-Anchor Fast-H.264 16x9 full res - BC Test","Application-Anchor Fast-H.264 16x9 full res - BC Test","00:00:00","Fri Sep 21 2012 11:20:23 GMT-0400 (EDT)","deleted"
"1773000855001","BC Test Video Tiger","BC Test Video Tiger","00:00:00","Fri Sep 21 2012 11:20:43 GMT-0400 (EDT)","deleted"
"1766592982001","Brightcove Test Video","Brightcove Test Video","00:00:00","Fri Sep 21 2012 11:20:54 GMT-0400 (EDT)","deleted"
"1497982727001","Sample Video 1","The short description can be used to give more information about your video and will appear in many standard Brightcove player templates.","00:00:00","Fri Sep 21 2012 11:25:37 GMT-0400 (EDT)","deleted"
"1497982726001","Sample Video 2","The short description can be used to give more information about your video and will appear in many standard Brightcove player templates.","00:00:00","Fri Sep 21 2012 11:25:44 GMT-0400 (EDT)","deleted"
"1864592626001","Hollister-DE-Critical-Care-ActiFlo-Bowel-Catheter-M3-German","Irrigation (1:35)","00:01:36","Fri Feb 15 2013 00:04:01 GMT-0500 (EST)","inactive"
"1864453792001","Hollister-DK-SE-Critical-Care-Zassi-CareTip-2-English","2. Care Tip #2 - Rectal Distention (0:28)","00:00:29","Wed Feb 20 2013 08:02:03 GMT-0500 (EST)","inactive"
"1864437493001","Hollister-BR-Ostomy-Care-Living-With-Stoma-Urostomy-M3-English","3. After Urostomy Surgery (14:52)","00:14:53","Fri Feb 15 2013 00:04:02 GMT-0500 (EST)","inactive"
"1863675619001","Hollister-BR-MX-US-Ostomy-Care-Educational-Theatre-Choose-M4-Spanish","4. Sistema de Bolsas de Dos Piezas New Image (2:20)","00:02:21","Fri Feb 15 2013 04:11:34 GMT-0500 (EST)","inactive"
"1854409513001","Hollister-US-Ostomy-Care-Video-Diaries-Benedetto-Rugen-English","Laura, RN, CWOCN (2:41)","00:02:42","Fri Apr 05 2013 06:28:54 GMT-0400 (EDT)","inactive"
"1854357712001","Hollister-BR-SE-US-Ostomy-Care-Online-CE-Course-M4-Use-Adapt-Convex-Barrier-Rings-HCP-English","Hollister-BR-SE-US-Ostomy-Care-Online-CE-Course-M4-Use-Adapt-Convex-Barrier-Rings-HCP-English","00:02:39","Wed Feb 20 2013 08:02:05 GMT-0500 (EST)","inactive"
"1854241115001","Hollister-CCMICROSITE-US-Continence-Care-Apogee-Closed-Catheter-Male-Spanish","Hollister-CCMICROSITE-US-Continence-Care-Apogee-Closed-Catheter-Male-Spanish","00:03:55","Fri Feb 15 2013 00:03:59 GMT-0500 (EST)","inactive"
"1854271040001","Hollister-CCMICROSITE-US-Continence-Care-Advance-Plus-Catheter-Male-English","Hollister-CCMICROSITE-US-Continence-Care-Advance-Plus-Catheter-Male-English","00:05:03","Thu Feb 28 2013 10:32:50 GMT-0500 (EST)","inactive"
"2259932020001","Dansac-Colostomy-1-Piece-English","Dansac-Colostomy-1-Piece-English","00:03:45","Tue Apr 02 2013 15:32:50 GMT-0400 (EDT)","playable"
"2259433489001","Dansac-Colostomy-2-Piece-English","Dansac-Colostomy-2-Piece-English","00:04:12","Tue Apr 02 2013 15:32:57 GMT-0400 (EDT)","playable"
"2259938838001","Dansac-Ileostomy-1-Piece-English","Dansac-Ileostomy-1-Piece-English","00:05:01","Tue Apr 02 2013 15:33:04 GMT-0400 (EDT)","playable"
